Species,Reservoir,MeanGRP,SE_GRP,HQH,fcDO
LMB,ACL,0.012518903,0.000323679,59.1039427,Hypoxia
LMB,ACL,0.021125413,0.000214805,90.3942652,NoHypoxia
LMB,BOL,0.007745462,0.000271977,48.6328725,Hypoxia
LMB,BOL,0.009456872,0.000254377,53.5791091,NoHypoxia
LMB,PHL,0.003086943,0.000159941,50.1014713,Hypoxia
LMB,PHL,0.003654022,0.000151592,50.3805175,NoHypoxia
SAE,ACL,0.000292032,0.000139068,50.5376344,Hypoxia
SAE,ACL,0.006162241,7.84E-05,87.1326165,NoHypoxia
SAE,BOL,2.61E-05,0.000126643,43.625192,Hypoxia
SAE,BOL,0.001337538,0.000113977,50.9677419,NoHypoxia
SAE,PHL,-0.00161666,8.32E-05,40.6392694,Hypoxia
SAE,PHL,-0.001197956,7.74E-05,40.7661086,NoHypoxia
WHC,ACL,0.007065176,0.000253069,52.8315412,Hypoxia
WHC,ACL,0.01795393,0.000146618,95.3763441,NoHypoxia
WHC,BOL,0.006213059,0.000245905,45.9600614,Hypoxia
WHC,BOL,0.008873337,0.000226826,55.2995392,NoHypoxia
WHC,PHL,-0.000488455,0.000103386,42.0091324,Hypoxia
WHC,PHL,-0.000151919,9.89E-05,42.2120751,NoHypoxia
