Easting,Northing
411331,4377944
411322,4377894
411313,4377845
411305,4377796
411296,4377747
411287,4377698
411278,4377648
411270,4377599
411261,4377550
411252,4377501
411243,4377451
411235,4377402
411226,4377353
411217,4377304
411208,4377254
411240,4377216
411271,4377177
411303,4377138
411335,4377099
411366,4377061
411398,4377022
411429,4376983
411461,4376944
411492,4376906
411524,4376867
411556,4376828
411587,4376789
411619,4376751
411572,4376732
411526,4376713
411480,4376694
411434,4376675
411387,4376656
411341,4376638
411295,4376619
411248,4376600
411202,4376581
411156,4376562
411109,4376543
411063,4376524
411017,4376506
410970,4376487
410924,4376468
410901,4376424
410878,4376379
410855,4376335
410831,4376291
410808,4376246
410785,4376202
410762,4376158
410739,4376113
410692,4376132
410646,4376151
410599,4376169
410553,4376188
410507,4376206
410460,4376225
410414,4376244
410367,4376262
410321,4376281
410275,4376299
410264,4376250
410254,4376202
410244,4376153
410234,4376104
410223,4376055
410213,4376006
410203,4375957
410192,4375908
410182,4375859
410172,4375810
410162,4375761
410151,4375712
410141,4375663
410091,4375666
410041,4375668
409991,4375670
409941,4375673
409891,4375675
409841,4375677
409791,4375680
409741,4375682
409691,4375684
409641,4375687
409626,4375734
409610,4375782
409594,4375829
409578,4375876
409563,4375924
409547,4375971
409531,4376019
409515,4376066
409499,4376114
409484,4376161
409468,4376209
409452,4376256
409436,4376303
409420,4376351
409459,4376383
409497,4376415
409535,4376447
409574,4376479
409612,4376512
409588,4376556
409565,4376600
409542,4376644
409518,4376688
409495,4376733
409445,4376731
409395,4376730
409345,4376729
409295,4376727
409245,4376726
409195,4376725
409145,4376724
409154,4376773
409164,4376822
409173,4376871
409183,4376920
409192,4376969
409202,4377018
409211,4377067
409221,4377116
409230,4377166
409240,4377215
409249,4377264
409259,4377313
409268,4377362
409277,4377411
409287,4377460
409296,4377509
409306,4377558
409315,4377607
409325,4377657
409334,4377706
