Transect,Easting,Northing
up,385872,4499207
up,385872,4499257
up,385872,4499307
up,385872,4499357
up,385872,4499407
up,385872,4499457
up,385872,4499507
up,385872,4499557
up,385872,4499607
up,385872,4499657
up,385872,4499707
up,385872,4499757
up,385872,4499807
up,385872,4499857
up,385872,4499907
up,385872,4499957
up,385872,4500007
mid,387515,4499602
mid,387565,4499602
mid,387615,4499602
mid,387665,4499602
mid,387715,4499602
mid,387765,4499602
mid,387815,4499602
mid,387865,4499602
mid,387915,4499602
down,387780,4498010
down,387830,4498010
down,387880,4498010
down,387930,4498010
down,387980,4498010
down,388030,4498010
down,388080,4498010
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
